Team,Statistic,Value
Senegal,Defending - Ball Recovery Time (s),45.34
South Africa,Defending - Ball Recovery Time (s),73.07
Spain,Defending - Ball Recovery Time (s),32.04
Sweden,Defending - Ball Recovery Time (s),72.94
Switzerland,Defending - Ball Recovery Time (s),36.08
Tunisia,Defending - Ball Recovery Time (s),69.13
Türkiye,Defending - Ball Recovery Time (s),29.94
USA,Defending - Ball Recovery Time (s),36.41
Uruguay,Defending - Ball Recovery Time (s),40.21
Uzbekistan,Defending - Ball Recovery Time (s),50.0
Algeria,Defending - Defensive Pressures Applied,749.0
Argentina,Defending - Defensive Pressures Applied,701.0
Australia,Defending - Defensive Pressures Applied,856.0
Austria,Defending - Defensive Pressures Applied,810.0
Belgium,Defending - Defensive Pressures Applied,597.0
Bosnia and Herzegovina,Defending - Defensive Pressures Applied,790.0
Brazil,Defending - Defensive Pressures Applied,937.0
Cabo Verde,Defending - Defensive Pressures Applied,837.0
Canada,Defending - Defensive Pressures Applied,910.0
Colombia,Defending - Defensive Pressures Applied,533.0
Congo DR,Defending - Defensive Pressures Applied,898.0
Croatia,Defending - Defensive Pressures Applied,720.0
Curaçao,Defending - Defensive Pressures Applied,983.0
Czechia,Defending - Defensive Pressures Applied,857.0
Côte d'Ivoire,Defending - Defensive Pressures Applied,1123.0
Ecuador,Defending - Defensive Pressures Applied,734.0
Egypt,Defending - Defensive Pressures Applied,676.0
England,Defending - Defensive Pressures Applied,595.0
France,Defending - Defensive Pressures Applied,981.0
Germany,Defending - Defensive Pressures Applied,915.0
Ghana,Defending - Defensive Pressures Applied,863.0
Haiti,Defending - Defensive Pressures Applied,810.0
IR Iran,Defending - Defensive Pressures Applied,874.0
Iraq,Defending - Defensive Pressures Applied,851.0
Japan,Defending - Defensive Pressures Applied,1118.0
Jordan,Defending - Defensive Pressures Applied,1148.0
Korea Republic,Defending - Defensive Pressures Applied,563.0
Mexico,Defending - Defensive Pressures Applied,668.0
Morocco,Defending - Defensive Pressures Applied,961.0
Netherlands,Defending - Defensive Pressures Applied,939.0
New Zealand,Defending - Defensive Pressures Applied,844.0
Norway,Defending - Defensive Pressures Applied,910.0
Panama,Defending - Defensive Pressures Applied,753.0
Paraguay,Defending - Defensive Pressures Applied,1421.0
Portugal,Defending - Defensive Pressures Applied,683.0
Qatar,Defending - Defensive Pressures Applied,832.0
Saudi Arabia,Defending - Defensive Pressures Applied,1035.0
Scotland,Defending - Defensive Pressures Applied,775.0
Senegal,Defending - Defensive Pressures Applied,703.0
South Africa,Defending - Defensive Pressures Applied,1081.0
Spain,Defending - Defensive Pressures Applied,629.0
Sweden,Defending - Defensive Pressures Applied,859.0
Switzerland,Defending - Defensive Pressures Applied,615.0
Tunisia,Defending - Defensive Pressures Applied,802.0
Türkiye,Defending - Defensive Pressures Applied,490.0
USA,Defending - Defensive Pressures Applied,638.0
Uruguay,Defending - Defensive Pressures Applied,745.0
Uzbekistan,Defending - Defensive Pressures Applied,944.0
Algeria,Defending - Defensive Pressures Directly Applied,115.0
Argentina,Defending - Defensive Pressures Directly Applied,131.0
Australia,Defending - Defensive Pressures Directly Applied,130.0
Austria,Defending - Defensive Pressures Directly Applied,132.0
Belgium,Defending - Defensive Pressures Directly Applied,89.0
Bosnia and Herzegovina,Defending - Defensive Pressures Directly Applied,124.0
Brazil,Defending - Defensive Pressures Directly Applied,145.0
Cabo Verde,Defending - Defensive Pressures Directly Applied,117.0
Canada,Defending - Defensive Pressures Directly Applied,171.0
Colombia,Defending - Defensive Pressures Directly Applied,86.0
Congo DR,Defending - Defensive Pressures Directly Applied,119.0
Croatia,Defending - Defensive Pressures Directly Applied,131.0
Curaçao,Defending - Defensive Pressures Directly Applied,160.0
Czechia,Defending - Defensive Pressures Directly Applied,121.0
Côte d'Ivoire,Defending - Defensive Pressures Directly Applied,188.0
Ecuador,Defending - Defensive Pressures Directly Applied,168.0
Egypt,Defending - Defensive Pressures Directly Applied,143.0
England,Defending - Defensive Pressures Directly Applied,123.0
France,Defending - Defensive Pressures Directly Applied,167.0
Germany,Defending - Defensive Pressures Directly Applied,187.0
Ghana,Defending - Defensive Pressures Directly Applied,146.0
Haiti,Defending - Defensive Pressures Directly Applied,143.0
IR Iran,Defending - Defensive Pressures Directly Applied,148.0
Iraq,Defending - Defensive Pressures Directly Applied,155.0
Japan,Defending - Defensive Pressures Directly Applied,191.0
Jordan,Defending - Defensive Pressures Directly Applied,166.0
Korea Republic,Defending - Defensive Pressures Directly Applied,86.0
Mexico,Defending - Defensive Pressures Directly Applied,88.0
Morocco,Defending - Defensive Pressures Directly Applied,218.0
Netherlands,Defending - Defensive Pressures Directly Applied,143.0
New Zealand,Defending - Defensive Pressures Directly Applied,140.0
Norway,Defending - Defensive Pressures Directly Applied,152.0
Panama,Defending - Defensive Pressures Directly Applied,175.0
Paraguay,Defending - Defensive Pressures Directly Applied,275.0
Portugal,Defending - Defensive Pressures Directly Applied,96.0
Qatar,Defending - Defensive Pressures Directly Applied,122.0
Saudi Arabia,Defending - Defensive Pressures Directly Applied,140.0
Scotland,Defending - Defensive Pressures Directly Applied,109.0
Senegal,Defending - Defensive Pressures Directly Applied,108.0
South Africa,Defending - Defensive Pressures Directly Applied,166.0
Spain,Defending - Defensive Pressures Directly Applied,102.0
Sweden,Defending - Defensive Pressures Directly Applied,150.0
Switzerland,Defending - Defensive Pressures Directly Applied,123.0
Tunisia,Defending - Defensive Pressures Directly Applied,131.0
Türkiye,Defending - Defensive Pressures Directly Applied,123.0
USA,Defending - Defensive Pressures Directly Applied,139.0
Uruguay,Defending - Defensive Pressures Directly Applied,130.0
Uzbekistan,Defending - Defensive Pressures Directly Applied,142.0
Algeria,Defending - Forced Turnovers,134.0
Argentina,Defending - Forced Turnovers,129.0
Australia,Defending - Forced Turnovers,118.0
Austria,Defending - Forced Turnovers,109.0
Belgium,Defending - Forced Turnovers,130.0
Bosnia and Herzegovina,Defending - Forced Turnovers,136.0
Brazil,Defending - Forced Turnovers,148.0
Cabo Verde,Defending - Forced Turnovers,146.0
Canada,Defending - Forced Turnovers,180.0
Colombia,Defending - Forced Turnovers,107.0
Congo DR,Defending - Forced Turnovers,136.0
Croatia,Defending - Forced Turnovers,114.0
Curaçao,Defending - Forced Turnovers,121.0
Czechia,Defending - Forced Turnovers,119.0
Côte d'Ivoire,Defending - Forced Turnovers,176.0
Ecuador,Defending - Forced Turnovers,141.0
Egypt,Defending - Forced Turnovers,155.0
England,Defending - Forced Turnovers,105.0
France,Defending - Forced Turnovers,174.0
Germany,Defending - Forced Turnovers,189.0
Ghana,Defending - Forced Turnovers,120.0
Haiti,Defending - Forced Turnovers,113.0
IR Iran,Defending - Forced Turnovers,132.0
Iraq,Defending - Forced Turnovers,122.0
Japan,Defending - Forced Turnovers,139.0
Jordan,Defending - Forced Turnovers,139.0
Korea Republic,Defending - Forced Turnovers,106.0
Mexico,Defending - Forced Turnovers,112.0
Morocco,Defending - Forced Turnovers,180.0
Netherlands,Defending - Forced Turnovers,165.0
New Zealand,Defending - Forced Turnovers,118.0
Norway,Defending - Forced Turnovers,132.0
Panama,Defending - Forced Turnovers,147.0
Paraguay,Defending - Forced Turnovers,209.0
Portugal,Defending - Forced Turnovers,103.0
Qatar,Defending - Forced Turnovers,101.0
Saudi Arabia,Defending - Forced Turnovers,128.0
Scotland,Defending - Forced Turnovers,107.0
Senegal,Defending - Forced Turnovers,113.0
South Africa,Defending - Forced Turnovers,158.0
Spain,Defending - Forced Turnovers,146.0
Sweden,Defending - Forced Turnovers,150.0
Switzerland,Defending - Forced Turnovers,137.0
Tunisia,Defending - Forced Turnovers,109.0
Türkiye,Defending - Forced Turnovers,121.0
USA,Defending - Forced Turnovers,136.0
Uruguay,Defending - Forced Turnovers,133.0
Uzbekistan,Defending - Forced Turnovers,135.0
Algeria,Defending - Goals Conceded,7.0
Argentina,Defending - Goals Conceded,1.0
Australia,Defending - Goals Conceded,2.0
Austria,Defending - Goals Conceded,6.0
Belgium,Defending - Goals Conceded,2.0
Bosnia and Herzegovina,Defending - Goals Conceded,6.0
Brazil,Defending - Goals Conceded,2.0
Cabo Verde,Defending - Goals Conceded,2.0
Canada,Defending - Goals Conceded,3.0
Colombia,Defending - Goals Conceded,1.0
Congo DR,Defending - Goals Conceded,3.0
Croatia,Defending - Goals Conceded,5.0
Curaçao,Defending - Goals Conceded,9.0
Czechia,Defending - Goals Conceded,6.0
Côte d'Ivoire,Defending - Goals Conceded,4.0
Ecuador,Defending - Goals Conceded,2.0
Egypt,Defending - Goals Conceded,3.0
England,Defending - Goals Conceded,2.0
France,Defending - Goals Conceded,2.0
Germany,Defending - Goals Conceded,5.0
Ghana,Defending - Goals Conceded,2.0
Haiti,Defending - Goals Conceded,8.0
IR Iran,Defending - Goals Conceded,3.0
Iraq,Defending - Goals Conceded,12.0
Japan,Defending - Goals Conceded,5.0
Jordan,Defending - Goals Conceded,8.0
Korea Republic,Defending - Goals Conceded,3.0
Mexico,Defending - Goals Conceded,0.0
Morocco,Defending - Goals Conceded,4.0
Netherlands,Defending - Goals Conceded,5.0
New Zealand,Defending - Goals Conceded,10.0
Norway,Defending - Goals Conceded,8.0
Panama,Defending - Goals Conceded,4.0
Paraguay,Defending - Goals Conceded,5.0
Portugal,Defending - Goals Conceded,1.0
Qatar,Defending - Goals Conceded,10.0
Saudi Arabia,Defending - Goals Conceded,5.0
Scotland,Defending - Goals Conceded,4.0
Senegal,Defending - Goals Conceded,6.0
South Africa,Defending - Goals Conceded,4.0
Spain,Defending - Goals Conceded,0.0
Sweden,Defending - Goals Conceded,10.0
Switzerland,Defending - Goals Conceded,3.0
Tunisia,Defending - Goals Conceded,12.0
Türkiye,Defending - Goals Conceded,5.0
USA,Defending - Goals Conceded,4.0
Uruguay,Defending - Goals Conceded,4.0
Uzbekistan,Defending - Goals Conceded,11.0
Algeria,Defending - Own Goals,0.0
Argentina,Defending - Own Goals,0.0
Australia,Defending - Own Goals,1.0
Austria,Defending - Own Goals,0.0
Belgium,Defending - Own Goals,0.0
Bosnia and Herzegovina,Defending - Own Goals,0.0
Brazil,Defending - Own Goals,0.0
Cabo Verde,Defending - Own Goals,0.0
Canada,Defending - Own Goals,0.0
Colombia,Defending - Own Goals,0.0
Congo DR,Defending - Own Goals,0.0
Croatia,Defending - Own Goals,0.0
Curaçao,Defending - Own Goals,0.0
Czechia,Defending - Own Goals,0.0
Côte d'Ivoire,Defending - Own Goals,0.0
Ecuador,Defending - Own Goals,0.0
Egypt,Defending - Own Goals,1.0
England,Defending - Own Goals,0.0
France,Defending - Own Goals,0.0
Germany,Defending - Own Goals,0.0
Ghana,Defending - Own Goals,0.0
Haiti,Defending - Own Goals,0.0
IR Iran,Defending - Own Goals,0.0
Iraq,Defending - Own Goals,1.0
Japan,Defending - Own Goals,0.0
Jordan,Defending - Own Goals,1.0
Korea Republic,Defending - Own Goals,0.0
Mexico,Defending - Own Goals,0.0
Morocco,Defending - Own Goals,1.0
Netherlands,Defending - Own Goals,0.0
New Zealand,Defending - Own Goals,0.0
Norway,Defending - Own Goals,0.0
Panama,Defending - Own Goals,0.0
Paraguay,Defending - Own Goals,1.0
Portugal,Defending - Own Goals,0.0
Qatar,Defending - Own Goals,2.0
Saudi Arabia,Defending - Own Goals,1.0
Scotland,Defending - Own Goals,0.0
Senegal,Defending - Own Goals,0.0
South Africa,Defending - Own Goals,0.0
Spain,Defending - Own Goals,0.0
Sweden,Defending - Own Goals,0.0
Switzerland,Defending - Own Goals,1.0
Tunisia,Defending - Own Goals,1.0
Türkiye,Defending - Own Goals,0.0
USA,Defending - Own Goals,0.0
Uruguay,Defending - Own Goals,0.0
Uzbekistan,Defending - Own Goals,1.0
Algeria,Discipline - Rank,47.0
Argentina,Discipline - Rank,30.0
Australia,Discipline - Rank,26.0
Austria,Discipline - Rank,32.0
Belgium,Discipline - Rank,39.0
Bosnia and Herzegovina,Discipline - Rank,7.0
Brazil,Discipline - Rank,11.0
Cabo Verde,Discipline - Rank,48.0
Canada,Discipline - Rank,5.0
Colombia,Discipline - Rank,23.0
Congo DR,Discipline - Rank,32.0
Croatia,Discipline - Rank,30.0
Curaçao,Discipline - Rank,32.0
Czechia,Discipline - Rank,19.0
Côte d'Ivoire,Discipline - Rank,39.0
Ecuador,Discipline - Rank,23.0
Egypt,Discipline - Rank,26.0
England,Discipline - Rank,19.0
France,Discipline - Rank,16.0
Germany,Discipline - Rank,4.0
Ghana,Discipline - Rank,7.0
Haiti,Discipline - Rank,1.0
IR Iran,Discipline - Rank,23.0
Iraq,Discipline - Rank,43.0
Japan,Discipline - Rank,1.0
Jordan,Discipline - Rank,36.0
Korea Republic,Discipline - Rank,45.0
Mexico,Discipline - Rank,26.0
Morocco,Discipline - Rank,6.0
Netherlands,Discipline - Rank,11.0
New Zealand,Discipline - Rank,32.0
Norway,Discipline - Rank,14.0
Panama,Discipline - Rank,7.0
Paraguay,Discipline - Rank,3.0
Portugal,Discipline - Rank,39.0
Qatar,Discipline - Rank,22.0
Saudi Arabia,Discipline - Rank,39.0
Scotland,Discipline - Rank,14.0
Senegal,Discipline - Rank,46.0
South Africa,Discipline - Rank,16.0
Spain,Discipline - Rank,26.0
Sweden,Discipline - Rank,13.0
Switzerland,Discipline - Rank,19.0
Tunisia,Discipline - Rank,43.0
Türkiye,Discipline - Rank,36.0
USA,Discipline - Rank,16.0
Uruguay,Discipline - Rank,36.0
Uzbekistan,Discipline - Rank,10.0
Algeria,Discipline - Fouls Against,17.0
Argentina,Discipline - Fouls Against,33.0
Australia,Discipline - Fouls Against,34.0
Austria,Discipline - Fouls Against,32.0
Belgium,Discipline - Fouls Against,29.0
Bosnia and Herzegovina,Discipline - Fouls Against,46.0
Brazil,Discipline - Fouls Against,44.0
Cabo Verde,Discipline - Fouls Against,15.0
Canada,Discipline - Fouls Against,48.0
Colombia,Discipline - Fouls Against,35.0
Congo DR,Discipline - Fouls Against,32.0
Croatia,Discipline - Fouls Against,33.0
Curaçao,Discipline - Fouls Against,32.0
Czechia,Discipline - Fouls Against,37.0
Côte d'Ivoire,Discipline - Fouls Against,29.0
Ecuador,Discipline - Fouls Against,35.0
Egypt,Discipline - Fouls Against,34.0
England,Discipline - Fouls Against,37.0
France,Discipline - Fouls Against,38.0
Germany,Discipline - Fouls Against,51.0
Ghana,Discipline - Fouls Against,46.0
Haiti,Discipline - Fouls Against,55.0
IR Iran,Discipline - Fouls Against,35.0
Iraq,Discipline - Fouls Against,27.0
Japan,Discipline - Fouls Against,55.0
Jordan,Discipline - Fouls Against,31.0
Korea Republic,Discipline - Fouls Against,25.0
Mexico,Discipline - Fouls Against,34.0
Morocco,Discipline - Fouls Against,47.0
Netherlands,Discipline - Fouls Against,44.0
New Zealand,Discipline - Fouls Against,32.0
Norway,Discipline - Fouls Against,42.0
Panama,Discipline - Fouls Against,46.0
Paraguay,Discipline - Fouls Against,53.0
Portugal,Discipline - Fouls Against,29.0
Qatar,Discipline - Fouls Against,36.0
Saudi Arabia,Discipline - Fouls Against,29.0
Scotland,Discipline - Fouls Against,42.0
Senegal,Discipline - Fouls Against,24.0
South Africa,Discipline - Fouls Against,38.0
Spain,Discipline - Fouls Against,34.0
Sweden,Discipline - Fouls Against,43.0
Switzerland,Discipline - Fouls Against,37.0
Tunisia,Discipline - Fouls Against,27.0
Türkiye,Discipline - Fouls Against,31.0
USA,Discipline - Fouls Against,38.0
Uruguay,Discipline - Fouls Against,31.0
Uzbekistan,Discipline - Fouls Against,45.0
Algeria,Discipline - Fouls For,30.0
Argentina,Discipline - Fouls For,31.0
Australia,Discipline - Fouls For,24.0
Austria,Discipline - Fouls For,20.0
Belgium,Discipline - Fouls For,33.0
Bosnia and Herzegovina,Discipline - Fouls For,31.0
Brazil,Discipline - Fouls For,48.0
Cabo Verde,Discipline - Fouls For,35.0
Canada,Discipline - Fouls For,58.0
Colombia,Discipline - Fouls For,34.0
Congo DR,Discipline - Fouls For,34.0
Croatia,Discipline - Fouls For,40.0
Curaçao,Discipline - Fouls For,31.0
Czechia,Discipline - Fouls For,31.0
Côte d'Ivoire,Discipline - Fouls For,36.0
Ecuador,Discipline - Fouls For,27.0
Egypt,Discipline - Fouls For,42.0
England,Discipline - Fouls For,52.0
France,Discipline - Fouls For,29.0
Germany,Discipline - Fouls For,42.0
Ghana,Discipline - Fouls For,33.0
Haiti,Discipline - Fouls For,43.0
IR Iran,Discipline - Fouls For,23.0
Iraq,Discipline - Fouls For,31.0
Japan,Discipline - Fouls For,31.0
Jordan,Discipline - Fouls For,23.0
Korea Republic,Discipline - Fouls For,32.0
Mexico,Discipline - Fouls For,28.0
Morocco,Discipline - Fouls For,57.0
Netherlands,Discipline - Fouls For,43.0
New Zealand,Discipline - Fouls For,23.0
Norway,Discipline - Fouls For,29.0
Panama,Discipline - Fouls For,33.0
Paraguay,Discipline - Fouls For,50.0
Portugal,Discipline - Fouls For,34.0
Qatar,Discipline - Fouls For,28.0
Saudi Arabia,Discipline - Fouls For,26.0
Scotland,Discipline - Fouls For,39.0
Senegal,Discipline - Fouls For,28.0
South Africa,Discipline - Fouls For,46.0
Spain,Discipline - Fouls For,15.0
Sweden,Discipline - Fouls For,50.0
Switzerland,Discipline - Fouls For,42.0
Tunisia,Discipline - Fouls For,34.0
Türkiye,Discipline - Fouls For,38.0
USA,Discipline - Fouls For,42.0
Uruguay,Discipline - Fouls For,29.0
Uzbekistan,Discipline - Fouls For,29.0
Algeria,Discipline - Indirect Red Cards,0.0
Argentina,Discipline - Indirect Red Cards,0.0
Australia,Discipline - Indirect Red Cards,0.0
Austria,Discipline - Indirect Red Cards,0.0
Belgium,Discipline - Indirect Red Cards,0.0
Bosnia and Herzegovina,Discipline - Indirect Red Cards,0.0
Brazil,Discipline - Indirect Red Cards,0.0
Cabo Verde,Discipline - Indirect Red Cards,0.0
Canada,Discipline - Indirect Red Cards,0.0
Colombia,Discipline - Indirect Red Cards,0.0
Congo DR,Discipline - Indirect Red Cards,0.0
Croatia,Discipline - Indirect Red Cards,0.0
Curaçao,Discipline - Indirect Red Cards,0.0
Czechia,Discipline - Indirect Red Cards,0.0
Côte d'Ivoire,Discipline - Indirect Red Cards,0.0
Ecuador,Discipline - Indirect Red Cards,0.0
Egypt,Discipline - Indirect Red Cards,0.0
England,Discipline - Indirect Red Cards,0.0
France,Discipline - Indirect Red Cards,0.0
Germany,Discipline - Indirect Red Cards,0.0
Ghana,Discipline - Indirect Red Cards,0.0
Haiti,Discipline - Indirect Red Cards,0.0
IR Iran,Discipline - Indirect Red Cards,0.0
Iraq,Discipline - Indirect Red Cards,0.0
Japan,Discipline - Indirect Red Cards,0.0
Jordan,Discipline - Indirect Red Cards,0.0
Korea Republic,Discipline - Indirect Red Cards,0.0
Mexico,Discipline - Indirect Red Cards,0.0
Morocco,Discipline - Indirect Red Cards,0.0
Netherlands,Discipline - Indirect Red Cards,0.0
New Zealand,Discipline - Indirect Red Cards,0.0
Norway,Discipline - Indirect Red Cards,0.0
Panama,Discipline - Indirect Red Cards,0.0
Paraguay,Discipline - Indirect Red Cards,0.0
Portugal,Discipline - Indirect Red Cards,0.0
Qatar,Discipline - Indirect Red Cards,0.0
Saudi Arabia,Discipline - Indirect Red Cards,0.0
Scotland,Discipline - Indirect Red Cards,0.0
Senegal,Discipline - Indirect Red Cards,0.0
South Africa,Discipline - Indirect Red Cards,0.0
Spain,Discipline - Indirect Red Cards,0.0
Sweden,Discipline - Indirect Red Cards,0.0
Switzerland,Discipline - Indirect Red Cards,0.0
Tunisia,Discipline - Indirect Red Cards,0.0
Türkiye,Discipline - Indirect Red Cards,0.0
USA,Discipline - Indirect Red Cards,0.0
Uruguay,Discipline - Indirect Red Cards,0.0
Uzbekistan,Discipline - Indirect Red Cards,0.0
Algeria,Discipline - Offsides,2.0
Argentina,Discipline - Offsides,8.0
Australia,Discipline - Offsides,1.0
Austria,Discipline - Offsides,6.0
Belgium,Discipline - Offsides,4.0
Bosnia and Herzegovina,Discipline - Offsides,2.0
Brazil,Discipline - Offsides,10.0
Cabo Verde,Discipline - Offsides,5.0
Canada,Discipline - Offsides,5.0
Colombia,Discipline - Offsides,13.0
Congo DR,Discipline - Offsides,5.0
Croatia,Discipline - Offsides,4.0
Curaçao,Discipline - Offsides,5.0
Czechia,Discipline - Offsides,5.0
Côte d'Ivoire,Discipline - Offsides,4.0
Ecuador,Discipline - Offsides,1.0
Egypt,Discipline - Offsides,1.0
England,Discipline - Offsides,6.0
France,Discipline - Offsides,7.0
Germany,Discipline - Offsides,4.0
Ghana,Discipline - Offsides,8.0
Haiti,Discipline - Offsides,7.0
IR Iran,Discipline - Offsides,9.0
Iraq,Discipline - Offsides,1.0
Japan,Discipline - Offsides,4.0
Jordan,Discipline - Offsides,3.0
Korea Republic,Discipline - Offsides,8.0
Mexico,Discipline - Offsides,4.0
Morocco,Discipline - Offsides,6.0
Netherlands,Discipline - Offsides,8.0
New Zealand,Discipline - Offsides,4.0
Norway,Discipline - Offsides,3.0
Panama,Discipline - Offsides,6.0
Paraguay,Discipline - Offsides,5.0
Portugal,Discipline - Offsides,7.0
Qatar,Discipline - Offsides,4.0
Saudi Arabia,Discipline - Offsides,3.0
Scotland,Discipline - Offsides,2.0
Senegal,Discipline - Offsides,8.0
South Africa,Discipline - Offsides,8.0
Spain,Discipline - Offsides,6.0
Sweden,Discipline - Offsides,9.0
Switzerland,Discipline - Offsides,5.0
Tunisia,Discipline - Offsides,9.0
Türkiye,Discipline - Offsides,7.0
USA,Discipline - Offsides,8.0
Uruguay,Discipline - Offsides,14.0
Uzbekistan,Discipline - Offsides,3.0
Algeria,Discipline - Red Cards,0.0
Argentina,Discipline - Red Cards,0.0
Australia,Discipline - Red Cards,0.0
Austria,Discipline - Red Cards,0.0
Belgium,Discipline - Red Cards,1.0
Bosnia and Herzegovina,Discipline - Red Cards,1.0
Brazil,Discipline - Red Cards,0.0
Cabo Verde,Discipline - Red Cards,0.0
Canada,Discipline - Red Cards,0.0
Colombia,Discipline - Red Cards,0.0
Congo DR,Discipline - Red Cards,0.0
Croatia,Discipline - Red Cards,0.0
Curaçao,Discipline - Red Cards,0.0
Czechia,Discipline - Red Cards,0.0
Côte d'Ivoire,Discipline - Red Cards,0.0
Ecuador,Discipline - Red Cards,0.0
Egypt,Discipline - Red Cards,0.0
England,Discipline - Red Cards,0.0
France,Discipline - Red Cards,0.0
Germany,Discipline - Red Cards,0.0
Ghana,Discipline - Red Cards,0.0
Haiti,Discipline - Red Cards,0.0
IR Iran,Discipline - Red Cards,0.0
Iraq,Discipline - Red Cards,1.0
Japan,Discipline - Red Cards,0.0
Jordan,Discipline - Red Cards,0.0
Korea Republic,Discipline - Red Cards,0.0
Mexico,Discipline - Red Cards,1.0
Morocco,Discipline - Red Cards,0.0
Netherlands,Discipline - Red Cards,0.0
New Zealand,Discipline - Red Cards,0.0
Norway,Discipline - Red Cards,0.0
Panama,Discipline - Red Cards,0.0
Paraguay,Discipline - Red Cards,1.0
Portugal,Discipline - Red Cards,0.0
Qatar,Discipline - Red Cards,2.0
Saudi Arabia,Discipline - Red Cards,0.0
Scotland,Discipline - Red Cards,0.0
Senegal,Discipline - Red Cards,0.0
South Africa,Discipline - Red Cards,2.0
Spain,Discipline - Red Cards,0.0
Sweden,Discipline - Red Cards,0.0
Switzerland,Discipline - Red Cards,0.0
Tunisia,Discipline - Red Cards,0.0
Türkiye,Discipline - Red Cards,0.0
USA,Discipline - Red Cards,0.0
Uruguay,Discipline - Red Cards,1.0
Uzbekistan,Discipline - Red Cards,0.0
Algeria,Discipline - Yellow Cards,1.0
Argentina,Discipline - Yellow Cards,2.0
Australia,Discipline - Yellow Cards,5.0
Austria,Discipline - Yellow Cards,4.0
Belgium,Discipline - Yellow Cards,3.0
Bosnia and Herzegovina,Discipline - Yellow Cards,6.0
Brazil,Discipline - Yellow Cards,7.0
Cabo Verde,Discipline - Yellow Cards,4.0
Canada,Discipline - Yellow Cards,7.0
Colombia,Discipline - Yellow Cards,4.0
Congo DR,Discipline - Yellow Cards,5.0
Croatia,Discipline - Yellow Cards,2.0
Curaçao,Discipline - Yellow Cards,7.0
Czechia,Discipline - Yellow Cards,1.0
Côte d'Ivoire,Discipline - Yellow Cards,4.0
Ecuador,Discipline - Yellow Cards,5.0
Egypt,Discipline - Yellow Cards,6.0
England,Discipline - Yellow Cards,2.0
France,Discipline - Yellow Cards,1.0
Germany,Discipline - Yellow Cards,3.0
Ghana,Discipline - Yellow Cards,3.0
Haiti,Discipline - Yellow Cards,7.0
IR Iran,Discipline - Yellow Cards,6.0
Iraq,Discipline - Yellow Cards,4.0
Japan,Discipline - Yellow Cards,4.0
Jordan,Discipline - Yellow Cards,4.0
Korea Republic,Discipline - Yellow Cards,4.0
Mexico,Discipline - Yellow Cards,2.0
Morocco,Discipline - Yellow Cards,2.0
Netherlands,Discipline - Yellow Cards,3.0
New Zealand,Discipline - Yellow Cards,4.0
Norway,Discipline - Yellow Cards,2.0
Panama,Discipline - Yellow Cards,5.0
Paraguay,Discipline - Yellow Cards,9.0
Portugal,Discipline - Yellow Cards,4.0
Qatar,Discipline - Yellow Cards,4.0
Saudi Arabia,Discipline - Yellow Cards,6.0
Scotland,Discipline - Yellow Cards,5.0
Senegal,Discipline - Yellow Cards,2.0
South Africa,Discipline - Yellow Cards,5.0
Spain,Discipline - Yellow Cards,2.0
Sweden,Discipline - Yellow Cards,5.0
Switzerland,Discipline - Yellow Cards,3.0
Tunisia,Discipline - Yellow Cards,1.0
Türkiye,Discipline - Yellow Cards,2.0
USA,Discipline - Yellow Cards,5.0
Uruguay,Discipline - Yellow Cards,5.0
Uzbekistan,Discipline - Yellow Cards,4.0
Algeria,Goalkeeping - Rank,27.0
Argentina,Goalkeeping - Rank,3.0
Australia,Goalkeeping - Rank,3.0
Austria,Goalkeeping - Rank,27.0
Belgium,Goalkeeping - Rank,15.0
Bosnia and Herzegovina,Goalkeeping - Rank,27.0
Brazil,Goalkeeping - Rank,3.0
Cabo Verde,Goalkeeping - Rank,3.0
Canada,Goalkeeping - Rank,3.0
Colombia,Goalkeeping - Rank,3.0
Congo DR,Goalkeeping - Rank,27.0
Croatia,Goalkeeping - Rank,15.0
Curaçao,Goalkeeping - Rank,15.0
Czechia,Goalkeeping - Rank,27.0
Côte d'Ivoire,Goalkeeping - Rank,3.0
Ecuador,Goalkeeping - Rank,15.0
Egypt,Goalkeeping - Rank,27.0
England,Goalkeeping - Rank,3.0
France,Goalkeeping - Rank,3.0
Germany,Goalkeeping - Rank,27.0
Ghana,Goalkeeping - Rank,3.0
Haiti,Goalkeeping - Rank,27.0
IR Iran,Goalkeeping - Rank,15.0
Iraq,Goalkeeping - Rank,27.0
Japan,Goalkeeping - Rank,15.0
Jordan,Goalkeeping - Rank,27.0
Korea Republic,Goalkeeping - Rank,27.0
Mexico,Goalkeeping - Rank,1.0
Morocco,Goalkeeping - Rank,15.0
Netherlands,Goalkeeping - Rank,27.0
New Zealand,Goalkeeping - Rank,27.0
Norway,Goalkeeping - Rank,27.0
Panama,Goalkeeping - Rank,27.0
Paraguay,Goalkeeping - Rank,3.0
Portugal,Goalkeeping - Rank,3.0
Qatar,Goalkeeping - Rank,27.0
Saudi Arabia,Goalkeeping - Rank,15.0
Scotland,Goalkeeping - Rank,15.0
Senegal,Goalkeeping - Rank,15.0
South Africa,Goalkeeping - Rank,15.0
Spain,Goalkeeping - Rank,1.0
Sweden,Goalkeeping - Rank,27.0
Switzerland,Goalkeeping - Rank,27.0
Tunisia,Goalkeeping - Rank,27.0
Türkiye,Goalkeeping - Rank,27.0
USA,Goalkeeping - Rank,15.0
Uruguay,Goalkeeping - Rank,27.0
Uzbekistan,Goalkeeping - Rank,27.0
